company,code
3M,MMM
AAA,AAA
AARP,ARP
Accenture,ACC
Advance Purchase Rate,ADP
Aetna,AET
Alaska Airlines,A70
Allstate,ALL
American Express,AMX
Apple,APL
AT&T,ATT
Bank of America,BOA
Best Available Rate,BAR
Boeing,BOE
Chick-Fil-A,CFA
Chrysler,DCX
Citi,CIT
Coca-Cola,COK
COX,COX
Dell,DEL
Deloitte,DTC
Delta,DLA
Disney,DIS
Exxon,XOM
FedEx,FED
Ford,FRD
GAP,GAP
General Corporate Rate,CRP
General Electric,GEE
GM,GMC
Google,GGL
Government Rate,GOV
IBM,IBM
Intel,INL
JCPenney,JCP
JPMorgan,JPM
Kroger,KRO
Leisure Rate,LRR
Local Promotion Rate,LPR
Lockheed Martin,XML
Look No Further Rate,LNF
Lowes,LOW
Microsoft,MCO
Morgan Stanley,MOS
Nike,NKE
Nissan,NIS
Northrop Grumman,NOR
Oracle,ORA
Pepsi,PEP
Pfizer,PFE
Proctor & Gamble,PAG
Prudential,PRU
Qualcomm,QUA
Raytheon,RAY
SAP,SAP
Shell,SHL
Sony,SON
Southwest Airlines,SW8
Sprint,SPR
Sun Microsystems,SUN
Texas Instruments,TXI
ThyssenKrupp,TSN
Toshiba,TOS
Toyota,TOY
United Airlines,UAL
UPS,UPS
Wedding Rate,W14
Wells Fargo,WEL
