company,code,hotel,price,location,run_date,checkin,checkout,address
Accenture,ACC,SpringHill Suites Columbia,118,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"7055 Minstrel Way Columbia, Maryland 21046"
Accenture,ACC,Courtyard Columbia,76,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"8910 Stanford Boulevard Columbia, Maryland 21045"
Accenture,ACC,Residence Inn Columbia,135,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"4950 Beaver Run Ellicott City, Maryland 21043"
Accenture,ACC,Residence Inn Fulton at Maple Lawn,152,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"11800 West Market Place Fulton, Maryland 20759"
Accenture,ACC,TownePlace Suites Fort Meade National Business Park,118,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"120 National Business Parkway Annapolis Junction, Maryland 20701"
Accenture,ACC,Courtyard Fort Meade BWI Business District,84,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"2700 Hercules Road Annapolis Junction, Maryland 20701"
Accenture,ACC,TownePlace Suites Arundel Mills BWI Airport,101,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"7021 Arundel Mills Circle Hanover, Maryland 21076"
Accenture,ACC,Residence Inn Arundel Mills BWI Airport,110,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"7035 Arundel Mills Circle Hanover, Maryland 21076"
Accenture,ACC,Element Arundel Mills BWI Airport,135,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"7522 Teague Road Hanover, Maryland 21076"
Accenture,ACC,Aloft Arundel Mills BWI Airport,110,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"7520 Teague Road Hanover, Maryland 21076"
Accenture,ACC,SpringHill Suites Arundel Mills BWI Airport,84,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"7544 Teague Road Hanover, Maryland 21076"
Accenture,ACC,Fairfield Inn & Suites Arundel Mills BWI Airport,118,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"7539 Teague Road Hanover, Maryland 21076"
Accenture,ACC,Fairfield Inn Laurel,101,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"13700 Baltimore Avenue Laurel, Maryland 20707"
Accenture,ACC,Sheraton Baltimore Washington Airport Hotel - BWI,89,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1100 Old Elkridge Landing Road Linthicum Heights, Maryland 21090"
Accenture,ACC,The Westin Baltimore Washington Airport - BWI,103,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1110 Old Elkridge Landing Road Linthicum Heights, Maryland 21090"
Accenture,ACC,SpringHill Suites Baltimore BWI Airport,80,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"899 Elkridge Landing Road Linthicum, Maryland 21090"
Accenture,ACC,BWI Airport Marriott,118,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1743 West Nursery Road Linthicum, Maryland 21090"
Accenture,ACC,Courtyard Baltimore BWI Airport,80,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1671 West Nursery Road Linthicum, Maryland 21090"
Accenture,ACC,Fairfield Inn & Suites Baltimore BWI Airport,93,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1020 Andover Road Linthicum Heights, Maryland 21090"
Accenture,ACC,Residence Inn Baltimore BWI Airport,101,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1160 Winterson Road Linthicum, Maryland 21090"
Accenture,ACC,Aloft BWI Baltimore Washington International Airport,80,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1741 West Nursery Road Linthicum, Maryland 21090"
Accenture,ACC,TownePlace Suites Baltimore BWI Airport,101,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1171 Winterson Road Linthicum, Maryland 21090"
Accenture,ACC,Courtyard Silver Spring North/White Oak,84,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"12521 Prosperity Drive Silver Spring, Maryland 20904"
Accenture,ACC,Sheraton College Park North Hotel,Rate Unavailable,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"4095 Powder Mill Road Beltsville, Maryland 20705"
Accenture,ACC,Residence Inn Silver Spring,144,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"12000 Plum Orchard Drive Silver Spring, Maryland 20904"
Accenture,ACC,TownePlace Suites College Park,101,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"9620 Baltimore Avenue College Park, Maryland 20740"
Accenture,ACC,Baltimore Marriott Inner Harbor at Camden Yards,129,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"110 South Eutaw Street Baltimore, Maryland 21201"
Accenture,ACC,Sheraton Inner Harbor Hotel,129,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"300 South Charles Street Baltimore, Maryland 21201"
Accenture,ACC,Residence Inn Greenbelt,110,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"6320 Golden Triangle Drive Greenbelt, Maryland 20770"
Accenture,ACC,Courtyard Greenbelt,84,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"6301 Golden Triangle Drive Greenbelt, Maryland 20770"
Accenture,ACC,Delta Hotels Baltimore Inner Harbor,144,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1 East Redwood Street Baltimore, Maryland 21202"
Accenture,ACC,Residence Inn Baltimore Downtown/ Inner Harbor,88,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"17 Light Street Baltimore, Maryland 21202"
